movies_title(3, FourRooms1995)
movies_title(368, Bio-Dome1996)
movies_title(369, BlackSheep1996)
movies_title(352, SpiceWorld1997)
movies_title(340, BoogieNights1997)
movies_title(354, WeddingSingerThe1998)
movies_title(344, ApostleThe1997)
movies_title(359, AssignmentThe1997)
movies_title(363, SuddenDeath1995)
movies_title(343, AlienResurrection1997)
movies_title(353, DeepRising1998)
movies_title(319, EveryoneSaysILoveYou1996)
movies_title(357, OneFlewOvertheCuckoosNest1975)
movies_title(365, Powder1995)
movies_title(322, Murderat16001997)
movies_title(366, DangerousMinds1995)
movies_title(318, SchindlersList1993)
movies_title(345, DeconstructingHarry1997)
movies_title(347, WagtheDog1997)
movies_title(371, BridgesofMadisonCountyThe1995)
movies_title(346, JackieBrown1997)
movies_title(325, Crash1996)
movies_title(327, CopLand1997)
movies_title(339, MadCity1997)
movies_title(375, Showgirls1995)
movies_title(378, Miracleon34thStreet1994)
movies_title(387, AgeofInnocenceThe1993)
movies_title(392, ManWithoutaFaceThe1993)
movies_title(421, WilliamShakespearesRomeoandJuliet1996)
movies_title(406, Thinner1996)
movies_title(382, AdventuresofPriscillaQueenoftheDesertThe1994)
movies_title(372, Jeffrey1995)
movies_title(376, Houseguest1994)
movies_title(397, StrikingDistance1993)
movies_title(405, MissionImpossible1996)
movies_title(384, NakedGun3313TheFinalInsult1994)
movies_title(386, AddamsFamilyValues1993)
movies_title(390, FearofaBlackHat1993)
movies_title(393, MrsDoubtfire1993)
movies_title(395, RobinHoodMeninTights1993)
movies_title(401, BradyBunchMovieThe1995)
movies_title(427, ToKillaMockingbird1962)
movies_title(454, BastardOutofCarolina1996)
movies_title(458, Nixon1995)
movies_title(459, CrytheBelovedCountry1995)
movies_title(455, JackieChansFirstStrike1996)
movies_title(460, CrossingGuardThe1995)
movies_title(461, Smoke1995)
movies_title(466, RedRockWest1992)
movies_title(431, Highlander1986)
movies_title(426, TransformersTheMovieThe1986)
movies_title(425, BobRoberts1992)
movies_title(428, HaroldandMaude1971)
movies_title(433, Heathers1989)
movies_title(449, StarTrekTheMotionPicture1979)
movies_title(450, StarTrekVTheFinalFrontier1989)
movies_title(464, Vanyaon42ndStreet1994)
movies_title(467, BronxTaleA1993)
movies_title(430, DuckSoup1933)
movies_title(451, Grease1978)
movies_title(456, BeverlyHillsNinja1997)
movies_title(435, ButchCassidyandtheSundanceKid1969)
movies_title(468, Rudy1993)
movies_title(469, ShortCuts1993)
movies_title(471, CourageUnderFire1996)
movies_title(462, LikeWaterForChocolateComoaguaparachocolate1992)
movies_title(429, DaytheEarthStoodStillThe1951)
movies_title(457, FreeWilly3TheRescue1997)
movies_title(476, FirstWivesClubThe1996)
movies_title(475, Trainspotting1996)
movies_title(494, HisGirlFriday1940)
movies_title(492, EastofEden1955)
movies_title(491, AdventuresofRobinHoodThe1938)
movies_title(496, ItsaWonderfulLife1946)
movies_title(499, CatonaHotTinRoof1958)
movies_title(503, CandidateThe1972)
movies_title(497, BringingUpBaby1938)
movies_title(506, RebelWithoutaCause1955)
movies_title(516, LocalHero1983)
movies_title(507, StreetcarNamedDesireA1951)
movies_title(508, PeoplevsLarryFlyntThe1996)
movies_title(509, MyLeftFoot1989)
movies_title(518, MillersCrossing1990)
movies_title(524, GreatDictatorThe1940)
movies_title(479, Vertigo1958)
movies_title(505, DialMforMurder1954)
movies_title(510, MagnificentSevenThe1954)
movies_title(478, PhiladelphiaStoryThe1940)
movies_title(481, ApartmentThe1960)
movies_title(504, BonnieandClyde1967)
movies_title(522, DownbyLaw1986)
movies_title(523, CoolHandLuke1967)
movies_title(540, MoneyTrain1995)
movies_title(535, AddictedtoLove1997)
movies_title(527, Gandhi1982)
movies_title(529, MyLifeasaDogMittlivsomhund1985)
movies_title(577, Coneheads1993)
movies_title(534, Traveller1997)
movies_title(536, Ponette1996)
movies_title(545, VampireinBrooklyn1995)
movies_title(537, MyOwnPrivateIdaho1991)
movies_title(546, BrokenArrow1996)
movies_title(550, DieHardWithaVengeance1995)
movies_title(572, BlownAway1994)
movies_title(574, BoxingHelena1993)
movies_title(566, ClearandPresentDanger1994)
movies_title(539, MouseHunt1997)
movies_title(541, MortalKombat1995)
movies_title(554, Waterworld1995)
movies_title(571, AnotherStakeout1993)
movies_title(562, QuickandtheDeadThe1995)
movies_title(555, WhiteMansBurden1995)
movies_title(568, Speed1994)
movies_title(531, Shine1996)
movies_title(543, MisrablesLes1995)
movies_title(557, Farinelliilcastrato1994)
movies_title(528, KillingFieldsThe1984)
movies_title(586, TerminalVelocity1994)
movies_title(579, FatalInstinct1993)
movies_title(585, SoninLaw1993)
movies_title(606, AllAboutEve1950)
movies_title(612, LostHorizon1937)
movies_title(604, ItHappenedOneNight1934)
movies_title(614, Giant1956)
movies_title(609, FatheroftheBride1950)
movies_title(599, PoliceStory4ProjectSChaojijihua1993)
movies_title(578, DemolitionMan1993)
movies_title(590, HellraiserBloodline1996)
movies_title(595, FanThe1996)
movies_title(615, 39StepsThe1935)
movies_title(592, TrueCrime1995)
movies_title(613, MyManGodfrey1936)
movies_title(629, VictorVictoria1982)
movies_title(580, EnglishmanWhoWentUpaHillButCameDownaMountainThe1995)
movies_title(617, BlueAngelTheBlaueEngelDer1930)
movies_title(618, Picnic1955)
movies_title(620, ChamberThe1996)
movies_title(627, RobinHoodPrinceofThieves1991)
movies_title(587, HourofthePigThe1993)
movies_title(598, BigSqueezeThe1996)
movies_title(628, Sleepers1996)
movies_title(632, SophiesChoice1982)
movies_title(633, ChristmasCarolA1938)
movies_title(638, ReturnofMartinGuerreTheRetourdeMartinGuerreLe1982)
movies_title(639, TinDrumTheBlechtrommelDie1979)
movies_title(665, Alien31992)
movies_title(636, EscapefromNewYork1981)
movies_title(640, CooktheThiefHisWifeHerLoverThe1989)
movies_title(663, BeingThere1979)
movies_title(650, SeventhSealTheSjundeinsegletDet1957)
movies_title(658, PumpUptheVolume1990)
movies_title(630, GreatRaceThe1965)
movies_title(679, ConantheBarbarian1981)
movies_title(680, KulltheConqueror1997)
movies_title(659, ArsenicandOldLace1944)
movies_title(660, FriedGreenTomatoes1991)
movies_title(664, ParisTexas1984)
movies_title(676, CrucibleThe1996)
movies_title(637, HowlingThe1981)
movies_title(678, Volcano1997)
movies_title(693, Casino1995)
movies_title(683, RocketMan1997)
movies_title(697, BasketballDiariesThe1995)
movies_title(688, LeaveIttoBeaver1997)
movies_title(698, BrowningVersionThe1994)
movies_title(699, LittleWomen1994)
movies_title(700, MiamiRhapsody1995)
movies_title(710, BetterOffDead1985)
movies_title(718, IntheBleakMidwinter1995)
movies_title(721, Mallrats1995)
movies_title(722, NineMonths1995)
movies_title(725, ExittoEden1994)
movies_title(684, IntheLineofFire1993)
movies_title(682, IKnowWhatYouDidLastSummer1997)
movies_title(685, ExecutiveDecision1996)
movies_title(689, JackalThe1997)
movies_title(734, MadeinAmerica1993)
movies_title(728, Junior1994)
movies_title(703, WidowsPeak1994)
movies_title(707, EnchantedApril1991)
movies_title(708, SexLiesandVideotape1989)
movies_title(711, SubstanceofFireThe1996)
movies_title(713, Othello1995)
movies_title(729, Nell1994)
movies_title(690, SevenYearsinTibet1997)
movies_title(726, Fluke1995)
movies_title(695, KickingandScreaming1995)
movies_title(686, PerfectWorldA1993)
movies_title(712, TinMen1987)
movies_title(715, ToDieFor1995)
movies_title(745, RulingClassThe1972)
movies_title(746, RealGenius1985)
movies_title(735, Philadelphia1993)
movies_title(756, FatheroftheBridePartII1995)
movies_title(258, Contact1997)
movies_title(750, Amistad1997)
movies_title(753, BurntBytheSun1994)
movies_title(763, HappyGilmore1996)
movies_title(780, DumbDumber1994)
movies_title(759, FairGame1995)
movies_title(779, DropZone1994)
movies_title(769, Congo1995)
movies_title(738, Threesome1994)
movies_title(739, PrettyWoman1990)
movies_title(747, BennyJoon1993)
movies_title(762, BeautifulGirls1996)
movies_title(772, Kids1995)
movies_title(776, ThreeWishes1995)
movies_title(773, MuteWitness1994)
movies_title(754, RedCorner1997)
movies_title(758, LawnmowerMan2BeyondCyberspace1996)
movies_title(743, CrowCityofAngelsThe1996)
movies_title(752, ReplacementKillersThe1998)
movies_title(782, LittleOdessa1994)
movies_title(737, Sirens1994)
movies_title(744, MichaelCollins1996)
movies_title(736, Shadowlands1993)
movies_title(740, JaneEyre1996)
movies_title(787, Roommates1995)
movies_title(741, LastSupperThe1995)
movies_title(789, SwimmingwithSharks1995)
movies_title(742, Ransom1996)
movies_title(790, TommyBoy1995)
movies_title(799, BoysLife1995)
movies_title(798, BadCompany1995)
movies_title(792, BulletsOverBroadway1994)
movies_title(793, Crooklyn1994)
movies_title(801, AirUpThereThe1994)
movies_title(804, JimmyHollywood1994)
movies_title(818, Girl61996)
movies_title(819, Eddie1996)
movies_title(824, GreatWhiteHypeThe1996)
movies_title(807, PoeticJustice1993)
movies_title(805, ManhattanMurderMystery1993)
movies_title(796, Speechless1994)
movies_title(817, Frisk1995)
movies_title(822, Faces1968)
movies_title(795, RichieRich1994)
movies_title(800, IntheMouthofMadness1995)
movies_title(839, LochNess1995)
movies_title(823, MulhollandFalls1996)
movies_title(837, MeetJohnDoe1941)
movies_title(794, ItCouldHappentoYou1994)
movies_title(810, ShadowThe1994)
movies_title(833, Bulletproof1996)
movies_title(838, IntheLineofDuty21987)
movies_title(821, MrsWinterbourne1996)
movies_title(841, GlimmerManThe1996)
movies_title(836, Ninotchka1939)
movies_title(835, GayDivorceeThe1934)
movies_title(815, OneFineDay1996)
movies_title(808, ProgramThe1993)
movies_title(851, TwoorThreeThingsIKnowAboutHer1966)
movies_title(863, GardenofFinzi-ContiniTheGiardinodeiFinzi-ContiniIl1970)
movies_title(848, MurderMySweet1944)
movies_title(865, IceStormThe1997)
movies_title(867, WholeWideWorldThe1996)
movies_title(879, PeacemakerThe1997)
movies_title(868, HeartsandMinds1996)
movies_title(874, CareerGirls1997)
movies_title(845, ThatThingYouDo1996)
movies_title(880, SoulFood1997)
movies_title(882, WashingtonSquare1997)
movies_title(883, TellingLiesinAmerica1997)
movies_title(887, EvesBayou1997)
movies_title(849, DaysofThunder1990)
movies_title(890, MortalKombatAnnihilation1997)
movies_title(897, TimeTracers1995)
movies_title(864, MyFellowAmericans1996)
movies_title(888, OneNightStand1997)
movies_title(896, SweetHereafterThe1997)
movies_title(852, BloodyChildThe1996)
movies_title(871, VegasVacation1997)
movies_title(893, ForRicherorPoorer1997)
movies_title(876, MoneyTalks1997)
movies_title(881, MoneyTalks1997)
movies_title(847, LookingforRichard1996)
movies_title(891, Bent1997)
movies_title(846, ToGillianonHer37thBirthday1996)
movies_title(855, Diva1981)
movies_title(898, PostmanThe1997)
movies_title(899, WinterGuestThe1997)
movies_title(901, MrMagoo1997)
movies_title(907, Vermin1998)
movies_title(900, Kundun1997)
movies_title(908, HalfBaked1998)
movies_title(913, LoveandDeathonLongIsland1997)
movies_title(926, DownPeriscope1996)
movies_title(943, KillingZoe1994)
movies_title(940, Airheads1994)
movies_title(929, HarriettheSpy1996)
movies_title(932, FirstKid1996)
movies_title(902, BigLebowskiThe1998)
movies_title(925, Unforgettable1996)
movies_title(909, DangerousBeauty1998)
movies_title(912, USMarshalls1998)
movies_title(910, NilByMouth1997)
movies_title(915, PrimaryColors1998)
movies_title(920, TwoBits1995)
movies_title(923, RaisetheRedLantern1991)
movies_title(927, FlowerofMySecretTheFlordemisecretoLa1995)
movies_title(933, FuneralThe1996)
movies_title(934, PreachersWifeThe1996)
movies_title(952, BlueintheFace1995)
movies_title(956, NobodysFool1994)
movies_title(958, ToLiveHuozhe1994)
movies_title(957, PushingHands1992)
movies_title(960, Naked1993)
movies_title(961, Orlando1993)
movies_title(977, SubstituteThe1996)
movies_title(959, DazedandConfused1993)
movies_title(970, HearMySong1991)
movies_title(995, KissMeGuido1997)
movies_title(997, StuartSavesHisFamily1995)
movies_title(975, Fear1996)
movies_title(998, CabinBoy1994)
movies_title(999, CleanSlate1994)
movies_title(1001, StupidsThe1996)
movies_title(962, RubyinParadise1993)
movies_title(967, LittleLordFauntleroy1936)
movies_title(972, PassionFish1992)
movies_title(980, MotherNight1996)
movies_title(981, DangerousGround1997)
movies_title(985, BloodWine1997)
movies_title(994, LastTimeICommittedSuicideThe1997)
movies_title(953, UnstrungHeroes1995)
movies_title(1058, WarThe1994)
movies_title(955, BeforeSunrise1995)
movies_title(964, MonthbytheLakeA1995)
movies_title(974, EyeforanEye1996)
movies_title(1007, WaitingforGuffman1996)
movies_title(1014, RomyandMichelesHighSchoolReunion1997)
movies_title(1005, DoubleviedeVroniqueLaDoubleLifeofVeroniqueThe1991)
movies_title(1038, Switchback1997)
movies_title(1046, Malice1993)
movies_title(1020, Gaslight1944)
movies_title(1008, IShotAndyWarhol1996)
movies_title(1009, StealingBeauty1996)
movies_title(1010, Basquiat1996)
movies_title(1023, FathersDay1997)
movies_title(1027, ShooterThe1995)
movies_title(1029, JuryDuty1995)
movies_title(1034, QuestThe1996)
movies_title(1019, DiexueshuangxiongKillerThe1989)
movies_title(1042, JustCause1995)
movies_title(1013, Anaconda1997)
movies_title(1030, BeverlyHillbilliesThe1993)
movies_title(1017, TreesLounge1996)
movies_title(1018, TieMeUpTieMeDown1990)
movies_title(1021, 8121963)
movies_title(1039, Hamlet1996)
movies_title(1045, Fearless1993)
movies_title(1053, NowandThen1995)
movies_title(1055, SimpleTwistofFateA1994)
movies_title(1012, PrivateParts1997)
movies_title(1006, UntiltheEndoftheWorldBisansEndederWelt1991)
movies_title(1015, Shiloh1997)
movies_title(1026, LayoftheLandThe1997)
movies_title(1025, FireDownBelow1997)
movies_title(1062, FourDaysinSeptember1997)
movies_title(1073, ShallowGrave1994)
movies_title(1077, Loveanda451994)
movies_title(1068, StarMakerTheUomodellestelleL1995)
movies_title(1059, DontBeaMenacetoSouthCentralWhileDrinkingYourJuiceintheHood1996)
movies_title(1090, Sliver1993)
movies_title(1075, ManofNoImportanceA1994)
movies_title(1087, Bloodsport21995)
movies_title(1088, DoubleTeam1997)
movies_title(1067, BottleRocket1996)
movies_title(1082, FemalePerversions1996)
movies_title(1070, LivinginOblivion1995)
movies_title(1083, AlbinoAlligator1996)
movies_title(1071, PartyGirl1995)
movies_title(1080, CelestialClockwork1994)
movies_title(1086, ItsMyParty1995)
movies_title(1097, HateHaineLa1995)
movies_title(1099, RedFirecrackerGreenFirecracker1994)
movies_title(1107, BeyondRangoon1995)
movies_title(1108, FeastofJuly1995)
movies_title(1101, SixDegreesofSeparation1993)
movies_title(1061, EveningStarThe1996)
movies_title(1063, LittlePrincessA1995)
movies_title(1085, CarriedAway1996)
movies_title(1109, DeathandtheMaiden1994)
movies_title(1069, Amateur1994)
movies_title(1074, RealityBites1994)
movies_title(1111, DoubleHappiness1994)
movies_title(1114, Faithful1996)
movies_title(1118, UpinSmoke1978)
movies_title(1120, ImNotRappaport1996)
movies_title(1140, RoadtoWellvilleThe1994)
movies_title(1112, Cobb1994)
movies_title(1162, PhatBeach1996)
movies_title(1113, MrsParkerandtheViciousCircle1994)
movies_title(1125, InnocentsThe1961)
movies_title(1131, Safe1995)
movies_title(1139, Hackers1995)
movies_title(1143, HardEight1996)
movies_title(1117, SurvivingPicasso1996)
movies_title(1123, LastTimeISawParisThe1954)
movies_title(1127, TrumanShowThe1998)
movies_title(1134, GetontheBus1996)
movies_title(1136, GhostsofMississippi1996)
movies_title(1144, QuietRoomThe1996)
movies_title(1163, PortraitofaLadyThe1996)
movies_title(1168, LittleBuddha1993)
movies_title(1169, Fresh1994)
movies_title(1171, WildReeds1994)
movies_title(1189, Prefontaine1997)
movies_title(1192, BoysofStVincentThe1993)
movies_title(1193, BeforetheRainPreddozhdot1994)
movies_title(1207, Jade1995)
movies_title(1210, Virtuosity1995)
movies_title(1166, LoveHumanRemains1993)
movies_title(1167, SumofUsThe1994)
movies_title(1172, WomenThe1939)
movies_title(1195, StrawberryandChocolateFresaychocolate1993)
movies_title(1196, SavageNightsNuitsfauvesLes1992)
movies_title(1205, SecretAgentThe1996)
movies_title(1214, IntheRealmoftheSensesAinocorrida1976)
movies_title(1176, WelcomeToSarajevo1997)
movies_title(1165, BigBully1996)
movies_title(1191, LetterFromDeathRowA1998)
movies_title(1194, OnceWereWarriors1994)
movies_title(1200, Kim1950)
movies_title(1173, Bliss1997)
movies_title(1211, BlueSky1994)
movies_title(1212, FleshandBone1993)
movies_title(1174, Caught1996)
movies_title(1222, JudgmentNight1993)
movies_title(1217, Assassins1995)
movies_title(1228, UnderSiege2DarkTerritory1995)
movies_title(1220, HigherLearning1995)
movies_title(1221, WhenaManLovesaWoman1994)
movies_title(1244, Metro1997)
movies_title(1250, BestoftheBest3NoTurningBack1995)
movies_title(1248, Blink1994)
movies_title(1253, TieThatBindsThe1995)
movies_title(1218, Friday1995)
movies_title(1225, Angus1995)
movies_title(1230, ReadytoWearPret-A-Porter1994)
movies_title(1234, ChairmanoftheBoard1998)
movies_title(1246, Bushwhacked1995)
movies_title(1223, KingoftheHill1993)
movies_title(1224, ScoutThe1994)
movies_title(1227, AwfullyBigAdventureAn1995)
movies_title(1233, NnetteetBoni1996)
movies_title(1236, OtherVoicesOtherRooms1997)
movies_title(1238, FullSpeed1996)
movies_title(1252, ContemptMprisLe1963)
movies_title(1255, BrokenEnglish1996)
movies_title(1256, DesignatedMournerThe1997)
movies_title(1257, DesignatedMournerThe1997)
movies_title(1270, LifewithMikey1993)
movies_title(1271, North1994)
movies_title(1303, GetawayThe1994)
movies_title(1267, Clockers1995)
movies_title(1275, KillerBulletproofHeart1994)
movies_title(1268, BitterMoon1992)
movies_title(1274, Robocop31993)
movies_title(1277, SetItOff1996)
movies_title(1304, NewYorkCop1996)
movies_title(1313, Palmetto1998)
movies_title(1314, SurvivingtheGame1994)
movies_title(1283, OuttoSea1997)
movies_title(1287, Ed1996)
movies_title(1288, DeniseCallsUp1995)
movies_title(1291, CelticPride1996)
movies_title(1276, SunsetPark1996)
movies_title(1281, MannyLo1996)
movies_title(1282, GrassHarpThe1995)
movies_title(1285, PrincessCaraboo1994)
movies_title(1306, DeltaofVenus1994)
movies_title(1309, VeryNaturalThingA1974)
movies_title(1310, WalkintheSunA1945)
movies_title(1316, HorseWhispererThe1998)
movies_title(1317, JourneyofAugustKingThe1995)
movies_title(1319, NeonBibleThe1995)
movies_title(1320, Homage1995)
movies_title(1284, BeforeandAfter1996)
movies_title(1273, ColorofNight1994)
movies_title(1278, Selena1997)
movies_title(1358, TheDeadlyCure1996)
movies_title(1323, WoodenMansBrideTheWuKui1994)
movies_title(1325, August1996)
movies_title(1362, AmericanStrays1996)
movies_title(1364, BirdofPrey1996)
movies_title(1372, StrangerThe1994)
movies_title(1321, OpenSeason1996)
movies_title(1322, MetisseCafauLait1993)
movies_title(1337, LargerThanLife1996)
movies_title(1326, Boys1996)
movies_title(1327, Captives1994)
movies_title(1328, OfLoveandShadows1994)
movies_title(1329, LowLifeThe1994)
movies_title(1330, AnUnforgettableSummer1994)
movies_title(1332, MyLifeandTimesWithAntoninArtaudEncompagniedAntoninArtaud1993)
movies_title(1334, SomebodytoLove1994)
movies_title(1335, AmericanBuffalo1996)
movies_title(1338, TwoDeaths1995)
movies_title(1341, HeddWyn1992)
movies_title(1375, CementGardenThe1993)
movies_title(1399, StrangerintheHouse1997)
movies_title(1393, Stag1997)
movies_title(1380, HollowReed1996)
movies_title(1374, FallinginLoveAgain1980)
movies_title(1407, SpecialistThe1994)
movies_title(1413, StreetFighter1994)
movies_title(1414, Coldblooded1995)
movies_title(1416, NoEscape1994)
movies_title(1415, NextKarateKidThe1994)
movies_title(1381, LosingChase1996)
movies_title(1382, BonheurLe1965)
movies_title(1376, MeetWallySparks1997)
movies_title(1404, WithnailandI1987)
movies_title(1408, Gordy1995)
movies_title(1420, GilligansIslandTheMovie1998)
movies_title(1384, Squeeze1996)
movies_title(1388, Gabbeh1996)
movies_title(1389, Mondo1996)
movies_title(1391, ForEverMozart1996)
movies_title(1392, LocustsThe1997)
movies_title(1395, HurricaneStreets1998)
movies_title(1396, Stonewall1995)
movies_title(1397, OfHumanBondage1934)
movies_title(1427, Drunks1995)
movies_title(1431, LegalDeceit1997)
movies_title(1428, SubUrbia1997)
movies_title(1430, IllGottenGains1997)
movies_title(1432, MightyThe1998)
movies_title(1438, Panther1995)
movies_title(1451, ForeignCorrespondent1940)
movies_title(1471, Hideaway1995)
movies_title(1477, Nightwatch1997)
movies_title(1435, StealBigStealLittle1995)
movies_title(1437, HouseParty31994)
movies_title(1446, ByeByeLove1995)
movies_title(1440, AbovetheRim1994)
movies_title(1442, ScarletLetterThe1995)
movies_title(1443, 8Seconds1994)
movies_title(1445, LadybirdLadybird1994)
movies_title(1447, Century1993)
movies_title(1448, MyFavoriteSeason1993)
movies_title(1449, PatherPanchali1955)
movies_title(1464, StarsFellonHenriettaThe1995)
movies_title(1466, MargaretsMuseum1995)
movies_title(1467, SaintofFortWashingtonThe1993)
movies_title(1468, CureThe1995)
movies_title(1433, MenofMeans1998)
movies_title(1481, SFW1994)
movies_title(1486, GirlintheCadillac1995)
movies_title(1489, Chasers1994)
movies_title(1488, Germinal1993)
movies_title(1490, Fausto1993)
movies_title(1492, WindowtoParis1994)
movies_title(1495, Flirt1995)
movies_title(1523, GoodManinAfricaA1994)
movies_title(1494, MostroIl1994)
