attributes(KPoTixdjoJxSqRSEApSAGg, lunch, true)
attributes(MwmXm48K2g2oTRe7XmssFw, validated, false)
attributes(MwmXm48K2g2oTRe7XmssFw, AcceptsCreditCards, true)
attributes(MwmXm48K2g2oTRe7XmssFw, PriceRange, 2)
attributes(gZJmtLYGNLoAFU82XjJ75g, ByAppointmentOnly, false)
attributes(gZJmtLYGNLoAFU82XjJ75g, GoodforKids, false)
attributes(gZJmtLYGNLoAFU82XjJ75g, street, false)
attributes(gZJmtLYGNLoAFU82XjJ75g, garage, false)
attributes(gZJmtLYGNLoAFU82XjJ75g, lot, false)
attributes(gZJmtLYGNLoAFU82XjJ75g, valet, false)
attributes(gZJmtLYGNLoAFU82XjJ75g, validated, false)
attributes(gZJmtLYGNLoAFU82XjJ75g, AcceptsCreditCards, true)
attributes(gZJmtLYGNLoAFU82XjJ75g, PriceRange, 3)
attributes(-TIyxSc-lLmJzunje6MD9Q, ByAppointmentOnly, true)
attributes(-PisznY2s13FyX3tASY4aA, WheelchairAccessible, true)
attributes(-PisznY2s13FyX3tASY4aA, street, false)
attributes(-PisznY2s13FyX3tASY4aA, garage, false)
attributes(-PisznY2s13FyX3tASY4aA, lot, true)
attributes(-PisznY2s13FyX3tASY4aA, valet, false)
attributes(-PisznY2s13FyX3tASY4aA, validated, false)
attributes(-PisznY2s13FyX3tASY4aA, AcceptsCreditCards, true)
attributes(-PisznY2s13FyX3tASY4aA, PriceRange, 2)
attributes(AkOruz5CrCxUmXe1p_WoRg, Alcohol, beer_and_wine)
attributes(AkOruz5CrCxUmXe1p_WoRg, Open24Hours, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, WaiterService, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, Attire, casual)
attributes(AkOruz5CrCxUmXe1p_WoRg, Delivery, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, GoodforKids, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, street, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, garage, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, lot, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, valet, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, validated, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, Take-out, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, AcceptsCreditCards, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, soy-free, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, vegan, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, gluten-free, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, kosher, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, dairy-free, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, vegetarian, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, halal, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, PriceRange, 2)
attributes(AkOruz5CrCxUmXe1p_WoRg, TakesReservations, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, OrderatCounter, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, Caters, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, NoiseLevel, average)
attributes(AkOruz5CrCxUmXe1p_WoRg, classy, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, hipster, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, touristy, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, divey, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, casual, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, intimate, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, romantic, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, trendy, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, upscale, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, BYOB, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, dinner, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, latenight, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, breakfast, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, brunch, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, lunch, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, dessert, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, BYOBCorkage, no)
attributes(AkOruz5CrCxUmXe1p_WoRg, HasTV, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, WheelchairAccessible, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, GoodForGroups, true)
attributes(AkOruz5CrCxUmXe1p_WoRg, OutdoorSeating, false)
attributes(AkOruz5CrCxUmXe1p_WoRg, Wi-Fi, no)
attributes(AkOruz5CrCxUmXe1p_WoRg, GoodForKids, true)
attributes(HgoYXFi_R2LbzYUDsa79Sw, WheelchairAccessible, true)
attributes(HgoYXFi_R2LbzYUDsa79Sw, street, false)
attributes(HgoYXFi_R2LbzYUDsa79Sw, garage, false)
attributes(HgoYXFi_R2LbzYUDsa79Sw, lot, true)
attributes(HgoYXFi_R2LbzYUDsa79Sw, valet, false)
attributes(HgoYXFi_R2LbzYUDsa79Sw, validated, false)
attributes(HgoYXFi_R2LbzYUDsa79Sw, AcceptsCreditCards, true)
attributes(HgoYXFi_R2LbzYUDsa79Sw, PriceRange, 2)
attributes(IZvR2t778V-3PqopbsZdeg, ByAppointmentOnly, false)
attributes(GrGHVKec258eN1_gtJwS1w, validated, false)
attributes(reU2VaO-QvNAyCZEyxHMBw, ByAppointmentOnly, false)
attributes(reU2VaO-QvNAyCZEyxHMBw, GoodforKids, true)
attributes(reU2VaO-QvNAyCZEyxHMBw, street, false)
attributes(reU2VaO-QvNAyCZEyxHMBw, garage, false)
attributes(reU2VaO-QvNAyCZEyxHMBw, lot, false)
attributes(reU2VaO-QvNAyCZEyxHMBw, valet, false)
attributes(reU2VaO-QvNAyCZEyxHMBw, validated, false)
attributes(reU2VaO-QvNAyCZEyxHMBw, AcceptsCreditCards, true)
attributes(reU2VaO-QvNAyCZEyxHMBw, PriceRange, 1)
attributes(GrGHVKec258eN1_gtJwS1w, street, true)
attributes(GrGHVKec258eN1_gtJwS1w, garage, false)
attributes(GrGHVKec258eN1_gtJwS1w, lot, true)
attributes(GrGHVKec258eN1_gtJwS1w, valet, false)
attributes(GrGHVKec258eN1_gtJwS1w, AcceptsCreditCards, true)
attributes(GrGHVKec258eN1_gtJwS1w, PriceRange, 2)
attributes(P6H-p8fXbPq8VjO4kLTz4A, WheelchairAccessible, true)
attributes(P6H-p8fXbPq8VjO4kLTz4A, street, false)
attributes(P6H-p8fXbPq8VjO4kLTz4A, garage, false)
attributes(P6H-p8fXbPq8VjO4kLTz4A, lot, true)
attributes(P6H-p8fXbPq8VjO4kLTz4A, valet, false)
attributes(P6H-p8fXbPq8VjO4kLTz4A, validated, false)
attributes(P6H-p8fXbPq8VjO4kLTz4A, AcceptsCreditCards, true)
attributes(P6H-p8fXbPq8VjO4kLTz4A, PriceRange, 3)
attributes(5kRug3bEienrpovtPRVVwg, Alcohol, full_bar)
attributes(5kRug3bEienrpovtPRVVwg, WaiterService, true)
attributes(5kRug3bEienrpovtPRVVwg, Attire, casual)
attributes(5kRug3bEienrpovtPRVVwg, Delivery, false)
attributes(5kRug3bEienrpovtPRVVwg, GoodforKids, false)
attributes(5kRug3bEienrpovtPRVVwg, street, false)
attributes(5kRug3bEienrpovtPRVVwg, garage, false)
attributes(5kRug3bEienrpovtPRVVwg, lot, true)
attributes(5kRug3bEienrpovtPRVVwg, valet, false)
attributes(5kRug3bEienrpovtPRVVwg, validated, false)
attributes(5kRug3bEienrpovtPRVVwg, Take-out, true)
attributes(5kRug3bEienrpovtPRVVwg, AcceptsCreditCards, true)
attributes(5kRug3bEienrpovtPRVVwg, PriceRange, 2)
attributes(5kRug3bEienrpovtPRVVwg, TakesReservations, true)
attributes(5kRug3bEienrpovtPRVVwg, Caters, false)
attributes(5kRug3bEienrpovtPRVVwg, NoiseLevel, average)
attributes(5kRug3bEienrpovtPRVVwg, hipster, false)
attributes(5kRug3bEienrpovtPRVVwg, classy, false)
attributes(5kRug3bEienrpovtPRVVwg, touristy, false)
attributes(5kRug3bEienrpovtPRVVwg, divey, false)
attributes(5kRug3bEienrpovtPRVVwg, casual, false)
attributes(5kRug3bEienrpovtPRVVwg, intimate, true)
attributes(5kRug3bEienrpovtPRVVwg, romantic, false)
attributes(5kRug3bEienrpovtPRVVwg, trendy, false)
attributes(5kRug3bEienrpovtPRVVwg, upscale, false)
attributes(5kRug3bEienrpovtPRVVwg, BYOB, false)
attributes(5kRug3bEienrpovtPRVVwg, dinner, true)
attributes(5kRug3bEienrpovtPRVVwg, latenight, false)
attributes(5kRug3bEienrpovtPRVVwg, breakfast, false)
attributes(5kRug3bEienrpovtPRVVwg, brunch, false)
attributes(5kRug3bEienrpovtPRVVwg, lunch, false)
attributes(5kRug3bEienrpovtPRVVwg, dessert, false)
attributes(5kRug3bEienrpovtPRVVwg, HasTV, true)
attributes(5kRug3bEienrpovtPRVVwg, WheelchairAccessible, true)
attributes(5kRug3bEienrpovtPRVVwg, BYOBCorkage, no)
attributes(5kRug3bEienrpovtPRVVwg, GoodForGroups, true)
attributes(5kRug3bEienrpovtPRVVwg, OutdoorSeating, false)
attributes(5kRug3bEienrpovtPRVVwg, Wi-Fi, no)
attributes(5kRug3bEienrpovtPRVVwg, GoodForKids, false)
attributes(P3DbF086gy6yMYIgTdR9yg, WheelchairAccessible, true)
attributes(P3DbF086gy6yMYIgTdR9yg, street, false)
attributes(P3DbF086gy6yMYIgTdR9yg, garage, false)
attributes(P3DbF086gy6yMYIgTdR9yg, lot, true)
attributes(P3DbF086gy6yMYIgTdR9yg, valet, false)
attributes(P3DbF086gy6yMYIgTdR9yg, validated, false)
attributes(P3DbF086gy6yMYIgTdR9yg, AcceptsCreditCards, true)
attributes(P3DbF086gy6yMYIgTdR9yg, PriceRange, 1)
attributes(OkRzw22eDg45do8i-1jHow, WheelchairAccessible, true)
attributes(OkRzw22eDg45do8i-1jHow, street, false)
attributes(OkRzw22eDg45do8i-1jHow, garage, false)
attributes(OkRzw22eDg45do8i-1jHow, lot, true)
attributes(OkRzw22eDg45do8i-1jHow, valet, false)
attributes(OkRzw22eDg45do8i-1jHow, validated, false)
attributes(OkRzw22eDg45do8i-1jHow, DogsAllowed, true)
attributes(OkRzw22eDg45do8i-1jHow, AcceptsCreditCards, true)
attributes(OkRzw22eDg45do8i-1jHow, PriceRange, 2)
attributes(DC77ROlgfnpxQNFKQbbpnw, street, false)
attributes(DC77ROlgfnpxQNFKQbbpnw, garage, false)
attributes(DC77ROlgfnpxQNFKQbbpnw, lot, true)
attributes(DC77ROlgfnpxQNFKQbbpnw, valet, false)
attributes(DC77ROlgfnpxQNFKQbbpnw, validated, false)
attributes(DC77ROlgfnpxQNFKQbbpnw, AcceptsCreditCards, true)
attributes(DC77ROlgfnpxQNFKQbbpnw, PriceRange, 2)
attributes(aApHpyUbnqBJmL_3X6UFOA, ByAppointmentOnly, false)
attributes(aApHpyUbnqBJmL_3X6UFOA, street, false)
attributes(aApHpyUbnqBJmL_3X6UFOA, garage, false)
attributes(aApHpyUbnqBJmL_3X6UFOA, lot, true)
attributes(aApHpyUbnqBJmL_3X6UFOA, valet, false)
attributes(aApHpyUbnqBJmL_3X6UFOA, validated, false)
attributes(aApHpyUbnqBJmL_3X6UFOA, AcceptsCreditCards, true)
attributes(aApHpyUbnqBJmL_3X6UFOA, PriceRange, 1)
attributes(psMQBi2uQVN7c-Sw0xjNMw, ByAppointmentOnly, true)
attributes(8rMSbtMFVtEien-2EfFu6w, ByAppointmentOnly, false)
attributes(UAnuqYY2EoGSh4vC8BByyw, ByAppointmentOnly, true)
attributes(UAnuqYY2EoGSh4vC8BByyw, street, false)
attributes(UAnuqYY2EoGSh4vC8BByyw, garage, false)
attributes(UAnuqYY2EoGSh4vC8BByyw, lot, false)
attributes(UAnuqYY2EoGSh4vC8BByyw, valet, false)
attributes(UAnuqYY2EoGSh4vC8BByyw, validated, false)
attributes(UAnuqYY2EoGSh4vC8BByyw, AcceptsCreditCards, true)
attributes(UAnuqYY2EoGSh4vC8BByyw, PriceRange, 2)
attributes(UAnuqYY2EoGSh4vC8BByyw, AcceptsInsurance, false)
attributes(b-IWZuVd3f0GcbtetwG5WA, WheelchairAccessible, true)
attributes(b-IWZuVd3f0GcbtetwG5WA, street, false)
attributes(b-IWZuVd3f0GcbtetwG5WA, garage, false)
attributes(b-IWZuVd3f0GcbtetwG5WA, lot, true)
attributes(b-IWZuVd3f0GcbtetwG5WA, valet, false)
attributes(b-IWZuVd3f0GcbtetwG5WA, validated, false)
attributes(b-IWZuVd3f0GcbtetwG5WA, AcceptsCreditCards, true)
attributes(b-IWZuVd3f0GcbtetwG5WA, PriceRange, 2)
attributes(aBHf1s6Epi3k4pXKIGd0dg, street, false)
attributes(aBHf1s6Epi3k4pXKIGd0dg, garage, false)
attributes(aBHf1s6Epi3k4pXKIGd0dg, lot, false)
attributes(aBHf1s6Epi3k4pXKIGd0dg, valet, false)
attributes(aBHf1s6Epi3k4pXKIGd0dg, validated, false)
attributes(aBHf1s6Epi3k4pXKIGd0dg, AcceptsCreditCards, true)
attributes(aBHf1s6Epi3k4pXKIGd0dg, PriceRange, 2)
attributes(ykBWmSL1yDrAob2a20b2DQ, ByAppointmentOnly, false)
attributes(ykBWmSL1yDrAob2a20b2DQ, street, false)
attributes(ykBWmSL1yDrAob2a20b2DQ, garage, false)
attributes(ykBWmSL1yDrAob2a20b2DQ, lot, true)
attributes(ykBWmSL1yDrAob2a20b2DQ, valet, false)
attributes(ykBWmSL1yDrAob2a20b2DQ, validated, false)
attributes(ykBWmSL1yDrAob2a20b2DQ, AcceptsCreditCards, true)
attributes(ykBWmSL1yDrAob2a20b2DQ, PriceRange, 1)
attributes(jq_YnMQjcArdBWuwRospFg, Alcohol, full_bar)
attributes(jq_YnMQjcArdBWuwRospFg, WaiterService, true)
attributes(jq_YnMQjcArdBWuwRospFg, Delivery, false)
attributes(jq_YnMQjcArdBWuwRospFg, HappyHour, true)
attributes(jq_YnMQjcArdBWuwRospFg, Attire, casual)
attributes(jq_YnMQjcArdBWuwRospFg, GoodforKids, true)
attributes(jq_YnMQjcArdBWuwRospFg, street, false)
attributes(jq_YnMQjcArdBWuwRospFg, garage, false)
attributes(jq_YnMQjcArdBWuwRospFg, lot, true)
attributes(jq_YnMQjcArdBWuwRospFg, valet, false)
attributes(jq_YnMQjcArdBWuwRospFg, validated, false)
attributes(jq_YnMQjcArdBWuwRospFg, Take-out, true)
attributes(jq_YnMQjcArdBWuwRospFg, AcceptsCreditCards, true)
attributes(jq_YnMQjcArdBWuwRospFg, PriceRange, 2)
attributes(jq_YnMQjcArdBWuwRospFg, TakesReservations, true)
attributes(jq_YnMQjcArdBWuwRospFg, Caters, true)
attributes(jq_YnMQjcArdBWuwRospFg, NoiseLevel, quiet)
attributes(jq_YnMQjcArdBWuwRospFg, hipster, false)
attributes(jq_YnMQjcArdBWuwRospFg, classy, false)
attributes(jq_YnMQjcArdBWuwRospFg, touristy, false)
attributes(jq_YnMQjcArdBWuwRospFg, divey, false)
attributes(jq_YnMQjcArdBWuwRospFg, casual, false)
attributes(jq_YnMQjcArdBWuwRospFg, intimate, false)
attributes(jq_YnMQjcArdBWuwRospFg, romantic, true)
attributes(jq_YnMQjcArdBWuwRospFg, trendy, false)
attributes(jq_YnMQjcArdBWuwRospFg, upscale, false)
attributes(jq_YnMQjcArdBWuwRospFg, dinner, true)
attributes(jq_YnMQjcArdBWuwRospFg, latenight, false)
attributes(jq_YnMQjcArdBWuwRospFg, breakfast, false)
attributes(jq_YnMQjcArdBWuwRospFg, brunch, false)
attributes(jq_YnMQjcArdBWuwRospFg, lunch, false)
attributes(jq_YnMQjcArdBWuwRospFg, dessert, false)
attributes(jq_YnMQjcArdBWuwRospFg, HasTV, false)
attributes(jq_YnMQjcArdBWuwRospFg, GoodForGroups, true)
attributes(jq_YnMQjcArdBWuwRospFg, OutdoorSeating, true)
attributes(jq_YnMQjcArdBWuwRospFg, GoodForDancing, false)
attributes(MglY-6zpPbBUhbCZElSwrA, ByAppointmentOnly, false)
attributes(MglY-6zpPbBUhbCZElSwrA, curly, true)
attributes(MglY-6zpPbBUhbCZElSwrA, perms, true)
attributes(MglY-6zpPbBUhbCZElSwrA, africanamerican, false)
attributes(MglY-6zpPbBUhbCZElSwrA, straightperms, true)
attributes(MglY-6zpPbBUhbCZElSwrA, coloring, true)
attributes(MglY-6zpPbBUhbCZElSwrA, kids, false)
attributes(MglY-6zpPbBUhbCZElSwrA, extensions, true)
attributes(MglY-6zpPbBUhbCZElSwrA, asian, false)
attributes(MglY-6zpPbBUhbCZElSwrA, GoodforKids, true)
attributes(MglY-6zpPbBUhbCZElSwrA, WheelchairAccessible, true)
attributes(MglY-6zpPbBUhbCZElSwrA, street, false)
attributes(MglY-6zpPbBUhbCZElSwrA, garage, false)
attributes(MglY-6zpPbBUhbCZElSwrA, lot, true)
attributes(MglY-6zpPbBUhbCZElSwrA, valet, false)
attributes(MglY-6zpPbBUhbCZElSwrA, validated, false)
attributes(MglY-6zpPbBUhbCZElSwrA, AcceptsCreditCards, true)
attributes(MglY-6zpPbBUhbCZElSwrA, PriceRange, 2)
attributes(rDyAYMl4kRnut0mruZctOw, ByAppointmentOnly, false)
attributes(rDyAYMl4kRnut0mruZctOw, GoodforKids, false)
attributes(rDyAYMl4kRnut0mruZctOw, street, false)
attributes(rDyAYMl4kRnut0mruZctOw, garage, false)
attributes(rDyAYMl4kRnut0mruZctOw, lot, false)
attributes(rDyAYMl4kRnut0mruZctOw, valet, false)
attributes(rDyAYMl4kRnut0mruZctOw, validated, false)
attributes(rDyAYMl4kRnut0mruZctOw, AcceptsCreditCards, true)
attributes(QsCCPWxWqMe-0jSfryhkXg, ByAppointmentOnly, false)
attributes(OCfXJuLuGKS0s7pZsKCf0A, street, false)
attributes(OCfXJuLuGKS0s7pZsKCf0A, garage, false)
attributes(OCfXJuLuGKS0s7pZsKCf0A, lot, true)
attributes(OCfXJuLuGKS0s7pZsKCf0A, valet, false)
attributes(OCfXJuLuGKS0s7pZsKCf0A, validated, false)
attributes(OCfXJuLuGKS0s7pZsKCf0A, AcceptsCreditCards, true)
attributes(OCfXJuLuGKS0s7pZsKCf0A, PriceRange, 2)
attributes(BNhnxtafzFg5D3aVBxz7jA, ByAppointmentOnly, true)
attributes(-xfC8kvDn3TN5uhkeTT0JA, ByAppointmentOnly, true)
attributes(SHOF1J3_V1z_HjsXqnIxqA, ByAppointmentOnly, true)
attributes(jz084uDhqyUK_jdbAqkYRg, WheelchairAccessible, true)
attributes(jz084uDhqyUK_jdbAqkYRg, street, false)
attributes(jz084uDhqyUK_jdbAqkYRg, garage, false)
attributes(jz084uDhqyUK_jdbAqkYRg, lot, true)
attributes(jz084uDhqyUK_jdbAqkYRg, valet, false)
attributes(jz084uDhqyUK_jdbAqkYRg, validated, false)
attributes(jz084uDhqyUK_jdbAqkYRg, AcceptsCreditCards, true)
attributes(jz084uDhqyUK_jdbAqkYRg, PriceRange, 1)
attributes(6w-hwYu8Km3tKp0RFTp0bQ, WheelchairAccessible, true)
attributes(6w-hwYu8Km3tKp0RFTp0bQ, street, false)
attributes(6w-hwYu8Km3tKp0RFTp0bQ, garage, false)
attributes(6w-hwYu8Km3tKp0RFTp0bQ, lot, true)
attributes(6w-hwYu8Km3tKp0RFTp0bQ, valet, false)
attributes(6w-hwYu8Km3tKp0RFTp0bQ, validated, false)
attributes(6w-hwYu8Km3tKp0RFTp0bQ, AcceptsCreditCards, true)
attributes(6w-hwYu8Km3tKp0RFTp0bQ, PriceRange, 1)
attributes(OyJ_CGX0-bh-7VicqfBXGw, street, false)
attributes(OyJ_CGX0-bh-7VicqfBXGw, garage, false)
attributes(OyJ_CGX0-bh-7VicqfBXGw, lot, true)
attributes(OyJ_CGX0-bh-7VicqfBXGw, valet, false)
attributes(OyJ_CGX0-bh-7VicqfBXGw, validated, false)
attributes(OyJ_CGX0-bh-7VicqfBXGw, AcceptsCreditCards, true)
attributes(OyJ_CGX0-bh-7VicqfBXGw, PriceRange, 2)
attributes(JlwJPlkE5E_97sPhqWnmCg, ByAppointmentOnly, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, curly, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, perms, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, africanamerican, false)
attributes(JlwJPlkE5E_97sPhqWnmCg, straightperms, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, coloring, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, kids, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, extensions, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, asian, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, GoodforKids, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, WheelchairAccessible, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, street, false)
attributes(JlwJPlkE5E_97sPhqWnmCg, garage, false)
attributes(JlwJPlkE5E_97sPhqWnmCg, lot, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, valet, false)
attributes(JlwJPlkE5E_97sPhqWnmCg, validated, false)
attributes(JlwJPlkE5E_97sPhqWnmCg, AcceptsCreditCards, true)
attributes(JlwJPlkE5E_97sPhqWnmCg, PriceRange, 2)
attributes(8w48H-7HwQX-fJx1Wl8glg, ByAppointmentOnly, false)
attributes(K7l8kVfpCWBhQpMHEhCv5w, ByAppointmentOnly, true)
attributes(WorzvsB28dlSnCyuNslSdA, street, false)
attributes(WorzvsB28dlSnCyuNslSdA, garage, false)
attributes(WorzvsB28dlSnCyuNslSdA, lot, true)
attributes(WorzvsB28dlSnCyuNslSdA, valet, false)
attributes(WorzvsB28dlSnCyuNslSdA, validated, false)
attributes(WorzvsB28dlSnCyuNslSdA, AcceptsCreditCards, true)
attributes(WorzvsB28dlSnCyuNslSdA, PriceRange, 1)
attributes(J6ZcTaL_4XaC7SwV1w9IOg, ByAppointmentOnly, true)
attributes(xpnNsrT8QsCIUdawnsBvoQ, ByAppointmentOnly, false)
attributes(Hls6Cl5Wo8f1FS5ZDtntXA, ByAppointmentOnly, true)
attributes(OXJZlVOYZwyrf5cHLmfStw, street, true)
attributes(OXJZlVOYZwyrf5cHLmfStw, garage, false)
attributes(OXJZlVOYZwyrf5cHLmfStw, lot, true)
attributes(OXJZlVOYZwyrf5cHLmfStw, valet, false)
attributes(OXJZlVOYZwyrf5cHLmfStw, validated, false)
attributes(OXJZlVOYZwyrf5cHLmfStw, AcceptsCreditCards, true)
attributes(OXJZlVOYZwyrf5cHLmfStw, PriceRange, 2)
attributes(BUsmaloKEZeOvXLrSjKWSQ, ByAppointmentOnly, false)
attributes(BUsmaloKEZeOvXLrSjKWSQ, WheelchairAccessible, true)
attributes(BUsmaloKEZeOvXLrSjKWSQ, street, false)
attributes(BUsmaloKEZeOvXLrSjKWSQ, garage, false)
attributes(BUsmaloKEZeOvXLrSjKWSQ, lot, true)
attributes(BUsmaloKEZeOvXLrSjKWSQ, valet, false)
attributes(BUsmaloKEZeOvXLrSjKWSQ, validated, false)
attributes(BUsmaloKEZeOvXLrSjKWSQ, AcceptsCreditCards, true)
attributes(BUsmaloKEZeOvXLrSjKWSQ, PriceRange, 3)
attributes(vQQBk3jsTkbPfa-qGeF3rg, ByAppointmentOnly, false)
attributes(vQQBk3jsTkbPfa-qGeF3rg, WheelchairAccessible, true)
attributes(vQQBk3jsTkbPfa-qGeF3rg, street, false)
attributes(vQQBk3jsTkbPfa-qGeF3rg, garage, false)
attributes(vQQBk3jsTkbPfa-qGeF3rg, lot, false)
attributes(vQQBk3jsTkbPfa-qGeF3rg, valet, false)
attributes(vQQBk3jsTkbPfa-qGeF3rg, validated, false)
attributes(vQQBk3jsTkbPfa-qGeF3rg, AcceptsCreditCards, true)
attributes(vQQBk3jsTkbPfa-qGeF3rg, PriceRange, 2)
attributes(VLRmecRseHP8ZLljlp7CFw, WheelchairAccessible, true)
attributes(VLRmecRseHP8ZLljlp7CFw, street, false)
attributes(VLRmecRseHP8ZLljlp7CFw, garage, false)
attributes(VLRmecRseHP8ZLljlp7CFw, lot, true)
